Trial,Post-Stimulus Frontal Mean,Pre-Response Frontal Mean,Post-Stimulus Frontal Stdev,Pre-Response Frontal Stdev,Post-Stimulus Central Mean,Pre-Response Central Mean,Post-Stimulus Central Stdev,Pre-Response Central Stdev,Post-Stimulus Temporal-L Mean,Pre-Response Temporal-L Mean,Post-Stimulus Temporal-L Stdev,Pre-Response Temporal-L Stdev,Post-Stimulus Temporal-R Mean,Pre-Response Temporal-R Mean,Post-Stimulus Temporal-R Stdev,Pre-Response Temporal-R Stdev,Post-Stimulus Occipital Mean,Pre-Response Occipital Mean,Post-Stimulus Occipital Stdev,Pre-Response Occipital Stdev
75,-0.07138781,-0.11103156,5.0534887,5.643465,-0.33156964,0.13307641,4.0138874,3.8803806,-0.08644444,-0.23476195,6.0602736,6.94706,0.041364994,-0.16448538,4.6745243,4.1012506,0.34838775,0.18049775,5.864206,6.2918034
76,0.15836017,-0.09671398,5.3517337,4.168287,-0.36156777,-0.127176,4.064131,3.6120048,0.25758836,-0.026085341,6.9600987,5.658781,0.15031444,-0.03518793,3.954791,3.7493627,0.090755515,0.21403964,5.111015,5.1442685
77,-0.04722722,-0.11193436,3.8834038,4.051489,0.011965963,-0.21390599,3.7901847,3.7402923,-0.15483268,0.39543092,5.298595,5.741919,-0.087418,-0.02649392,4.111325,3.8047493,0.0946717,0.22458695,4.914622,5.401663
78,0.33396843,-0.031714406,5.3149548,4.2205086,-0.21347018,0.13161246,4.3112636,3.3561516,0.42104128,-0.08102364,7.2938337,5.5973334,0.0068859807,-0.03939798,5.0352335,3.6686254,-0.26539418,-0.008426399,6.2290263,5.389791
79,0.026871242,0.13273716,4.3259816,4.1896744,-0.024828061,-0.08039663,3.383414,2.991432,0.08856822,0.022691505,5.213815,4.8675065,-0.018540228,-0.006041357,3.3264017,3.6466994,0.06744474,-0.054333013,4.6962686,4.6224284
80,0.14497288,0.10795176,3.9048083,4.626933,0.03999553,0.16043778,3.8444178,3.8811553,0.080025636,-0.084221,5.6286044,5.812374,0.0721766,-0.18715823,4.1445656,3.8173895,-0.09261229,-0.18909808,5.295214,5.266024
81,-0.07142291,0.030113542,4.346469,4.4240036,0.105182685,0.11663743,3.62473,3.6112611,-0.057351496,-0.095318474,5.203006,4.888774,-0.09758582,0.008650817,3.855347,3.6560907,0.0056522302,-0.075549,5.013474,5.0862584
82,0.38714024,-0.10065783,5.5163794,4.7353997,-0.35058334,0.03505159,4.3364205,3.9569607,0.25586036,-0.055841554,5.639034,5.811299,0.17368738,0.16135381,4.497513,3.6538496,-0.1196511,-0.073817976,6.2298746,5.5018787
83,-0.058516562,0.15979545,4.1084976,3.8101506,0.062017754,0.05695587,3.8752322,3.135994,0.034464043,-0.08714178,5.0772266,5.2129993,-0.19039162,-0.16871889,3.9431999,3.4211285,0.03763406,-0.032371707,5.246282,5.0025516
84,-0.0224796,0.42279062,3.812245,4.676753,-0.21593076,-0.110165685,3.5964744,3.224972,0.12870021,0.014921558,5.9892216,7.327384,0.04646204,0.10765316,4.117661,4.7582655,0.0633436,-0.12359788,5.080598,5.082396
